ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,Label
1745488769.63739,CfzdfWOYPgZv7kIcc,192.168.1.27,57516,118.98.115.70,53,udp,dns,0.105529,0,119,SHR,T,F,0,Cd,0,0,1,147,-,BENIGN
1745488769.700659,C8FZob4R5okv0nWm29,192.168.1.27,50539,118.98.115.70,53,udp,dns,0.094299,0,108,SHR,T,F,0,Cd,0,0,1,136,-,BENIGN
1745488769.701019,CjWFMH3Ofrb8KCHyj2,192.168.1.27,37244,118.98.115.70,53,udp,dns,0.093956,0,120,SHR,T,F,0,Cd,0,0,1,148,-,BENIGN
1745488769.701181,COBsK03U0j6BPpo7Rl,192.168.1.27,39607,118.98.115.70,53,udp,dns,0.093777,0,157,SHR,T,F,0,Cd,0,0,1,185,-,BENIGN
1745488779.704731,CRCuB211P9tgUZdKo7,192.168.1.27,40100,23.106.127.56,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488779.710311,C8ZrDz1fcgzs8Rtc73,192.168.1.27,40108,23.106.127.56,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488769.668096,C56Rhh19f2ysaYAqza,192.168.1.27,37368,104.93.114.167,443,tcp,-,5.093097,0,3782,RSTO,T,F,0,^hCacdftRR,3,120,6,625,-,BENIGN
1745488769.797377,Cti5IgDQmy0nYgtig,192.168.1.27,39038,118.98.115.70,53,udp,dns,0.118265,0,129,SHR,T,F,0,Cd,0,0,1,157,-,BENIGN
1745488780.090528,CFUOXf16Kt1IGFKRmk,192.168.1.27,36122,104.22.30.209,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488780.095827,CMzsRg6NNlkBBbjOj,192.168.1.27,36128,104.22.30.209,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488770.264987,C5OBks23CInKmgXUp3,192.168.1.27,49816,118.98.115.70,53,udp,dns,0.005696,0,60,SHR,T,F,0,Cd,0,0,1,88,-,BENIGN
1745488770.265283,CkzsKi33UW6r7SYSJi,192.168.1.27,57422,118.98.115.70,53,udp,dns,0.005401,0,101,SHR,T,F,0,Cd,0,0,1,129,-,BENIGN
1745488769.88312,Cs977z2F8xk3HbJN1a,192.168.1.27,36570,146.75.46.248,443,tcp,-,5.908447,0,483,RSTO,T,F,0,^hCadftRR,4,160,8,907,-,BENIGN
1745488780.890843,CKxTCMaJbYWvuTrXc,192.168.1.27,40480,182.161.73.164,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488781.1255,CZes3u41TqdeYFIyud,192.168.1.27,46176,182.161.73.146,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488770.901155,CjPSFY1BObMMS2JITg,192.168.1.27,45520,118.97.159.33,443,tcp,-,5.878233,0,597,RSTO,T,F,0,^hCadftRR,3,120,8,1021,-,BENIGN
1745488781.90219,CyoiWt1tyg2D4AiJC8,192.168.1.27,39800,188.40.16.220,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745485054.558223,CxFfNs2YXxMDPbHgxj,192.168.1.27,57700,74.125.24.190,443,tcp,-,3722.626154,0,1699261,SHR,T,F,0,^hCacdCctCctCf,0,0,4228,572087,-,BENIGN
1745488777.719237,Cqm7MO3nLtAJccjHw1,192.168.1.27,53966,116.213.23.190,443,tcp,-,0.263735,0,3934,RSTR,T,F,0,^hCacdCRfr,2,80,9,1506,-,BENIGN
1745488783.22826,Cg3u4C3afbg6C6Thed,192.168.1.27,43810,103.43.91.8,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488783.262671,CBpL5n4Hs9hGf4Mqlf,192.168.1.27,43818,103.43.91.8,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
